692
mrca(3,11,37,40,39,0,74,104,17,24,45,75,177,13,66,53,50,510,121,2829,256,62,303,160,134,436,141,569,72,91,180,3296,193,35,34,434,248,328,476,233,218,983,36,529,406,373,378,446,850,2237,3127,708,1274,1709,230,234,227,2730,231,353,101,48,2404,438,944,3718,487,1808,1021,971,902,742,325,302,310,20,205,88,86,61,376,564,1031,677,2797,3330,2468,2900,1548,4366,2587,1386,326,1553,258,720,107,79,163,2420,3416,848,2535,2238,3510,710,1593,1810,3098,1138,2015,2732,2010,1159,700,930,5887,2235,3167,657,673,110,157,151,133,212,348,3829,666,1265,1721,1020,585,3185,4593,1308,797,1217,1137,1462,4075,1786,2175,640,1322,795,723,2091,3107,164,219,105,95,114,139,150,236,2156,2088,4093,4466,560,1997,954,5626,4840,1171,1452,1798,764,1084,2072,732,1213,1842,2942,4138,1712,888,583,3212,4086,161,444,138,184,63,523,263,129,171,335,1057,1448,1264,922,1681,2511,3040,857,5480,1254,1780,1026,768,1674,3249,2544,1287,3917,2782,883,4222,247,288,2722,192,222,594,874,1719,754,4971,1469,3583,2164,3018,2610,1777,3034,2803,3299,2364,2056,3688,4054,745,1980,220,352,3915,475,667,1686,895,1729,2138,3147,1294,3973,1985,4398,1411,2019,928,3466,2299,2926,254,416,985,2500,344,689,409,342,582,2082,337,2938,1169,2084,3880,3739,3403,1269,1391,2619,3091,6109,2195,631,2276,287,617,279,580,390,587,361,694,784,809,1602,1967,1218,2846,1344,1257,3603,4572,763,862,2080,2584,120,592,973,1173,540,457,389,440,1387,5623,1124,2348,2642,2855,369,2375,2152,2291,3013,1324,2792,1550,3038,4762,3003,461,274,1826,3822,5199,1156,341,472,1207,306,521,516,3199,1185,1455,2327,2666,200,462,413,453,678,1791,2643,2069,2471,6152,842,1192,2109,5351,612,561,2667,894,682,2820,1210,2759,2843,1232,3690,654,307,1815,250,1659,4243,1087,1235,4877,2452,2389,3502,2402,498,947,4238,1633,1654,2793,1547,775,3388,646,647,1355,1377,1028,3568,1722,334,486,551,324,1339,660,384,3528,627,556,3811,4969,1908,5699,533,3363,887,2341,2595,1200,3797,736,879,953,1966,2857,2525,1987,2421,1916,1756,2350,978,1282,1705,2007,3176,2559,2810,317,467,595,593,5846,789,1272,3231,2287,1119,574,981,3710,4432,1511,1678,3484,3386,2488,3071,3402,2310,807,1840,3119,839,2401,1251,4069,3887,1805,1698,2245,3668,2545,3965,1316,1969,3613,2848,468,3052,4565,642,892,2197,2116,1090,1443,1191,1880,3746,4598,4751,2030,4353,387,404,955,3621,1278,625,757,3393,2910,5574,810,604,2422,2683,1083,1277,1011,2053,1006,3382,2515,3768,1353,2354,6429,2638,2263,4300,4161,4119,4363,1656,1627,2740,1389,1267,1488,2081,3522,2570,2744,3519,2777,3815,2314,4110,663,3135,3457,3156,2601,804,2319,3154,818,858,1866,2506,3515,1227,3608,3195,6188,1591,3491,5192,1666,2844,3531,4949,1108,2932,5126,1013,2360,442,3760,5769,3535,4872,2182,1992,716,1179,1409,1111,2317,1896,5466,6276,2726,4498,1161,1440,1865,2227,3359,1374,1140,1820,1240,2255,3239,4622,2445,1976,1947,3320,1936,653,3083,4279,5611,3905,5807,4421,5619,2394,730,915,1869,4114,2811,2872,2004,4499,2564,2113,2097,4873,3911,1555,3369,4575,1445,4019,2038,5202,2684,2632,5142,1837,2210,3414,1600,1320,3070,3406,5457,2119,1399,900,1174,1007,1088,1141,2763,3972,1888,3817,4960,3203,4352,2978,4146,1117,4206,1070,1696,1868,6012,1131,4230,4757,5357,1248,2575,3893,5786,1682,1359,4645,4945,2323,3616,1862,1380,1610,2036,3774,5004,3012,1279,5657,5745)	b(1999.9972602739726,2000.0027397260274)
1798	2000.0566390547945
764	2000.049488669315
1084	2000.0526342701369
2072	2000.0588693057534
732	2000.048113958493
1213	2000.0490072379453
1842	2000.0525227858905
2942	2000.0585070569864
4138	2000.0603510021917
1712	2000.056266392904
888	2000.0597410778357
583	2000.0515527490686
3212	2000.0554348210685
4086	2000.0603375353699
161	2000.0382684823835
444	2000.0476380604657
138	2000.029417178274
184	2000.0416824741644
63	2000.0331853508767
523	2000.042962570411
263	2000.0505726169863
129	2000.0250180958903
171	2000.0448913671232
335	2000.0590960238355
1057	2000.0485392923288
1448	2000.050160908767
1264	2000.0505700156164
922	2000.0592644868493
1681	2000.0515971279451
2511	2000.0538824512328
3040	2000.0555502438356
857	2000.0573757945206
5480	2000.060369
1254	2000.0532452123289
1780	2000.0524560845206
1026	2000.0533236461645
768	2000.0572151819451
1674	2000.054612324411
3249	2000.0606538668767
2544	2000.0607971819452
1287	2000.0591992668767
3917	2000.057113184685
2782	2000.0551264860549
883	2000.0564293298903
4222	2000.0600029490686
247	2000.0494496827398
288	2000.0529982142466
2722	2000.0578376567123
192	2000.0407324523287
222	2000.0470824249314
594	2000.0559772019178
874	2000.0474922950684
1719	2000.0559829854794
754	2000.051961119178
4971	2000.0598039054794
1469	2000.0515228424658
3583	2000.0564880656163
2164	2000.052728218767
3018	2000.059246950274
2610	2000.0581779721917
1777	2000.0602065353698
3034	2000.0561044805754
2803	2000.0556812312602
3299	2000.0601352586575
2364	2000.0564538309864
2056	2000.058112954274
3688	2000.058679457726
4054	2000.0602909097809
745	2000.052745367315
1980	2000.0586562714248
220	2000.033097227589
352	2000.0378509252055
3915	2000.05796308137
475	2000.0434985443835
667	2000.047963719726
1686	2000.0575361580823
895	2000.0490667361644
1729	2000.0539596569863
2138	2000.0530202479451
3147	2000.0572607368492
1294	2000.0498428132876
3973	2000.0576657557535
1985	2000.0591165776711
4398	2000.0597086132877
1411	2000.0517348093424
2019	2000.0546268915343
928	2000.0546900750958
3466	2000.0560415709863
2299	2000.0558243024932
2926	2000.0565018476987
254	2000.048102868685
416	2000.0433422906028
985	2000.0475786549864
2500	2000.0578623837534
344	2000.0601126635615
689	2000.0487972252056
409	2000.049487238904
342	2000.0487881019178
582	2000.0424801635615
2082	2000.0556411909588
337	2000.0386185454795
2938	2000.0560292468492
1169	2000.052235741644
2084	2000.0577736761643
3880	2000.0573068542465
3739	2000.0570701109589
3403	2000.0578966041096
1269	2000.0511235324657
1391	2000.0546219036987
2619	2000.0564536023287
3091	2000.0601956420549
6109	2000.0604177516439
2195	2000.0529582347397
631	2000.0552472093425
2276	2000.056492313452
287	2000.0592100741644
617	2000.043179507041
279	2000.0481495645754
580	2000.0506708796438
390	2000.0409607919726
587	2000.0525291841095
361	2000.0594946936985
694	2000.0441311882191
784	2000.0449619032877
809	2000.0458054578082
1602	2000.0530108413698
1967	2000.0524041345207
1218	2000.0533749865754
2846	2000.054892519726
1344	2000.0568388649315
1257	2000.0571129543835
3603	2000.0590323388494
4572	2000.0581878867945
763	2000.0451576440273
862	2000.054157687863
2080	2000.0592185125206
2584	2000.0544221618356
120	2000.0587146221096
592	2000.0440799810137
973	2000.050083197452
1173	2000.060007148137
540	2000.0539135097808
457	2000.0403346741643
389	2000.0451151344384
440	2000.0427362440273
1387	2000.0605233251233
5623	2000.0604644851232
1124	2000.0487698279453
2348	2000.0560639375342
2642	2000.0596568224657
2855	2000.056605019726
369	2000.049869111233
2375	2000.0570305663014
2152	2000.0585251142465
2291	2000.0569966512328
3013	2000.0580425142466
1324	2000.059441089589
2792	2000.0576342950685
1550	2000.0579178320547
3038	2000.0583056676712
4762	2000.059026330685
3003	2000.0604094813698
461	2000.0437320347946
274	2000.0529189882193
1826	2000.0549191745206
3822	2000.0586183735616
5199	2000.0604267845206
1156	2000.0530429125206
341	2000.0414936955342
472	2000.0546675256712
1207	2000.0568284845754
306	2000.0362722407397
521	2000.0440894489589
516	2000.0562857646576
3199	2000.056235608411
1185	2000.0595547043013
1455	2000.0522684495068
2327	2000.0568662029316
2666	2000.0570940933424
200	2000.0402320002465
462	2000.0485782002465
413	2000.0576753782739
453	2000.0476235426574
678	2000.0484849426575
1791	2000.05858925937
2643	2000.057595167315
2069	2000.0561722553425
2471	2000.0570054032876
6152	2000.060570718356
842	2000.0496897238356
1192	2000.053383559452
2109	2000.060281499452
5351	2000.060369910411
612	2000.0435569457534
561	2000.0442496210958
2667	2000.0593504978083
894	2000.058916289589
682	2000.05085048137
2820	2000.0591652457533
1210	2000.0566258347944
2759	2000.0574435964384
2843	2000.0596144238357
1232	2000.0580808073973
3690	2000.0597472731506
654	2000.0567396567124
307	2000.036042320822
1815	2000.0566295256713
250	2000.0523100653973
1659	2000.051325986493
4243	2000.0593008495068
1087	2000.055465107041
1235	2000.0506134330685
4877	2000.0606495333425
2452	2000.054523868685
2389	2000.0560594248493
3502	2000.0594553276712
2402	2000.056895979726
498	2000.0447044810958
947	2000.0469985443835
4238	2000.0598028375343
1633	2000.057038070411
1654	2000.0514898950685
2793	2000.0574272156164
1547	2000.0547282128766
775	2000.0542998594522
3388	2000.0571005043835
646	2000.0535497509588
647	2000.0476220797261
1355	2000.0520339916986
1377	2000.0554357421097
1028	2000.0489044243013
3568	2000.0566659975343
1722	2000.0543213126027
334	2000.0407519837534
486	2000.0540551837535
551	2000.044827035808
324	2000.0453036851234
1339	2000.0542212741643
660	2000.0516200138904
384	2000.0431716001917
3528	2000.0599300851234
627	2000.049879068685
556	2000.057335808411
3811	2000.058015429233
4969	2000.0590030182739
1908	2000.0580813758904
5699	2000.0607682526027
533	2000.0477652827396
3363	2000.059984789589
887	2000.0510355769864
2341	2000.0530318509589
2595	2000.0565223961644
1200	2000.0574993824657
3797	2000.0584057553424
736	2000.047131169041
879	2000.0462507964382
953	2000.0464353936986
1966	2000.0530036813698
2857	2000.0547132923289
2525	2000.0593255334247
1987	2000.0543852978083
2421	2000.0535006347945
1916	2000.0537592950684
1756	2000.0561530484931
2350	2000.055746821096
978	2000.0603706156164
1282	2000.050240590959
1705	2000.054747930685
2007	2000.0569605882192
3176	2000.0593308621917
2559	2000.0562397526028
2810	2000.0607821279452
317	2000.0504031389041
467	2000.0513469580821
595	2000.0480580649314
593	2000.0441977142466
5846	2000.0603122728767
789	2000.0604347457534
1272	2000.0513616347946
3231	2000.060764730685
2287	2000.0560310868493
1119	2000.0527621290412
574	2000.0545882715069
981	2000.0577146550686
3710	2000.0565214437534
4432	2000.0607787314248
1511	2000.060530619096
1678	2000.052860317726
3484	2000.0576642821095
3386	2000.0565842927945
2488	2000.053928509233
3071	2000.0590752873152
3402	2000.0586637558083
2310	2000.0587354544384
807	2000.0489172895068
1840	2000.0573039141643
3119	2000.0564073558082
839	2000.047883370137
2401	2000.0593399015615
1251	2000.0524741410136
4069	2000.0594985125206
3887	2000.0602294714247
1805	2000.060733718
1698	2000.0531068769042
2245	2000.0554743813698
3668	2000.059067589589
2545	2000.0543792306848
3965	2000.0592162936987
1316	2000.054269008767
1969	2000.0543043238356
3613	2000.0607225731508
2848	2000.055963558082
468	2000.0433277934246
3052	2000.0581662454795
4565	2000.060113889315
642	2000.0575274153425
892	2000.0513212126027
2197	2000.0544926265754
2116	2000.0559280156165
1090	2000.0496524621917
1443	2000.0508717717807
1191	2000.0554222347946
1880	2000.0572587580823
3746	2000.0604003471233
4598	2000.0588340567124
4751	2000.0587465005478
2030	2000.0560617487672
4353	2000.0603990676711
387	2000.0389677279452
404	2000.0414227553424
955	2000.0499485854793
3621	2000.056381369041
1278	2000.0517670676713
625	2000.0546387060274
757	2000.0570015602739
3393	2000.0591527931506
2910	2000.0568232923288
5574	2000.0599038676712
810	2000.0542148961645
604	2000.0517327454795
2422	2000.055148597178
2683	2000.056323758822
1083	2000.0478026908768
1277	2000.0565231558082
1011	2000.0487307804658
2053	2000.0531708736164
1006	2000.054209098904
3382	2000.0569933230138
2515	2000.0595817613698
3768	2000.0595585147946
1353	2000.0504363703287
2354	2000.0545133456437
6429	2000.060738427589
2638	2000.0585915810136
2263	2000.0578733618356
4300	2000.0593041207396
4161	2000.0607352522466
4119	2000.0581523073972
4363	2000.059818819726
1656	2000.055010160822
1627	2000.0544173695891
2740	2000.0581686813698
1389	2000.059924420822
1267	2000.0501268841097
1488	2000.054069599178
2081	2000.0536945334247
3522	2000.0604022978082
2570	2000.0557463882192
2744	2000.0574842676713
3519	2000.0569648978083
2777	2000.0565844638356
3815	2000.057717310411
2314	2000.0587441224657
4110	2000.0590957663014
663	2000.0605434046574
3135	2000.057454040274
3457	2000.0574343142466
3156	2000.058096259452
2601	2000.05867898
804	2000.0514571443834
2319	2000.0570250471233
3154	2000.0577988279451
818	2000.052215279726
858	2000.059293800274
1866	2000.05541154
2506	2000.0566212715069
3515	2000.0582950468493
1227	2000.0497309311506
3608	2000.0606516434796
3195	2000.059234988685
6188	2000.0605222215615
1591	2000.0588171536986
3491	2000.0591289727124
5192	2000.0600868083288
1666	2000.0529950415616
2844	2000.055831679918
3531	2000.0596843374522
4949	2000.0588681645754
1108	2000.059309507041
2932	2000.0605493536164
5126	2000.0601774632055
1013	2000.0469669578083
2360	2000.0583097961644
442	2000.059187850959
3760	2000.057223818082
5769	2000.0600216263015
3535	2000.058729670411
4872	2000.0589554019177
2182	2000.0533630950686
1992	2000.0546449372603
716	2000.050182029315
1179	2000.0533109169862
1409	2000.0559307252054
1111	2000.0504627443836
2317	2000.0585104950685
1896	2000.0584248457535
5466	2000.0603695758905
6276	2000.0605708032876
2726	2000.0572128389042
4498	2000.0584636882193
1161	2000.0490221345206
1440	2000.0566968742467
1865	2000.054059550959
2227	2000.05443783863
3359	2000.057378290685
1374	2000.0572117037534
1140	2000.054707566767
1820	2000.0595405722465
1240	2000.058677816082
2255	2000.055828208493
3239	2000.0583853895068
4622	2000.0587461840273
2445	2000.0538522714246
1976	2000.0552195043015
1947	2000.0529662868494
3320	2000.0584198073973
1936	2000.0566211991782
653	2000.058106870411
3083	2000.060169550685
4279	2000.0586111753425
5611	2000.0605345945205
3905	2000.0591829142465
5807	2000.0607237416439
4421	2000.0604715443835
5619	2000.0605522786302
2394	2000.0596645309588
730	2000.0449193945205
915	2000.0464532043836
1869	2000.055906859178
4114	2000.0593676536987
2811	2000.056849289589
2872	2000.0557030786301
2004	2000.0592896326027
4499	2000.059610290137
2564	2000.0561703690412
2113	2000.05232708
2097	2000.058587519726
4873	2000.0607470621917
3911	2000.0578661772602
1555	2000.059420029315
3369	2000.0557821813698
4575	2000.0587176676713
1445	2000.057638871507
4019	2000.0594897756164
2038	2000.0598592407398
5202	2000.060560117452
2684	2000.0551732544384
2632	2000.0563284826576
5142	2000.0594901538905
1837	2000.052828479096
2210	2000.0549863832055
3414	2000.0582538249314
1600	2000.0596327564383
1320	2000.0563669864932
3070	2000.0606301590958
3406	2000.058193731507
5457	2000.0601402547945
2119	2000.0541804843836
1399	2000.0536894273973
900	2000.0537871167123
1174	2000.055566859178
1007	2000.047714232055
1088	2000.0535879005479
1141	2000.0477786868494
2763	2000.0548485060274
3972	2000.0595447252056
1888	2000.055607560822
3817	2000.0587575421096
4960	2000.0604917201917
3203	2000.0585956851232
4352	2000.0600676303288
2978	2000.056437038548
4146	2000.0591506193698
1117	2000.0544071446575
4206	2000.059633290411
1070	2000.0539044372604
1696	2000.0577522372603
1868	2000.053132850959
6012	2000.0606690975342
1131	2000.0491077060274
4230	2000.0593505635616
4757	2000.0593034430137
5357	2000.0592913169862
1248	2000.0499511761643
2575	2000.0552792273972
3893	2000.0568520219178
5786	2000.0599041879452
1682	2000.051791349589
1359	2000.0546268043836
4645	2000.0588249030136
4945	2000.0589661632878
2323	2000.0554557378082
3616	2000.0602624619178
1862	2000.0582869523287
1380	2000.0590721030137
1610	2000.0552399742467
2036	2000.0532869049316
3774	2000.0567992747945
5004	2000.059915530411
3012	2000.0599952153425
1279	2000.0601760457535
5657	2000.0602507827398
5745	2000.060683421096
